충전소,dong,주소,long,lat,충전기 타입
LF스퀘어 광양점,광양읍,"전라남도 광양시 광양읍 순광로 466, 1층 ",127.5678603,34.96255308,DC콤보
광양만권경제자유구역청,광양읍,전라남도 광양시 광양읍 인덕로 1100(광양시 제2청사) (1100(광양시 제2청사)),127.5822735,34.98079604,DC차데모+AC3상+DC콤보
광양송보파인빌5차아파트,중마동,"전라남도 광양시 진등길 55-5 (마동, 송보파인빌뷰아파트) 501동~506동,상가동 ",127.6889502,34.95375016,AC완속
광양시 모리스모텔,광영동,전라남도 광양시 광영로 118-1 지상주차장,127.7167132,34.9640181,AC완속
광양시 백운쇼핑센터,금호동,전라남도 광양시 폭포사랑길 99  주차장,127.7329493,34.93999156,AC완속
광양시 블루핸즈(광양정비센터),광양읍,전라남도 광양시 광양읍 해광로 888  실외주차장,127.5820127,34.96365342,AC완속
광양시 비치모텔,진월면,전라남도 광양시 진월면 백운1로 389 주차장,127.7509826,34.9624706,AC완속
광양시 제철협력회관,금호동,전라남도 광양시 희망길 12-14  주차장,127.7246302,34.93747643,AC완속
광양시 포스코ICT 광양사업소,태인동,전라남도 광양시 태인4길 20 주차장,127.7598385,34.94117114,AC완속
광양시 프라자모텔,광영동,전라남도 광양시 광영로 34,127.725005,34.962133,AC완속
광양시_광양읍사무소,광양읍,전라남도 광양시 광양읍 남등길 6 ,127.5810657,34.97334131,AC완속
광양시_광영동주민센터,광영동,전라남도 광양시 정수2길 47 ,127.7220071,34.96291545,AC완속
광양시_옥곡면사무소,옥곡면,전라남도 광양시 옥곡면 옥진로 656 ,127.6988806,34.98952646,AC완속
광양읍사무소 앞 주차장,광양읍,전라남도 광양시 광양읍 칠성리 948-1 ,127.58072,34.972466,DC콤보
광양주공이차아파트,중마동,"전라남도 광양시 구마9길 11 (중동, 중마2주공아파트) ",127.68603,34.94487193,AC완속
한국전력 광양지사,중마동,전라남도 광양시 중동로 20 ,127.6913303,34.93984898,DC차데모+AC3상+DC콤보
광영 근린공원,광영동,전라남도 광양시 광영동 산 41-3 ,127.718954,34.960699,DC차데모+AC3상+DC콤보
광영동가야아파트,광영동,"전라남도 광양시 가야로 380 (광영동, 가야아파트) ",127.7140143,34.9665081,AC완속
구산칠성e편한세상,광양읍,"전라남도 광양시 광양읍 서북2길 115 (구산리, 칠성e-편한세상) ",127.5755274,34.97553893,AC완속
대광로제비앙2차아파트,중마동,전라남도 광양시 진등3길 6 지하주차장 B1구역,127.6885685,34.95242957,AC완속
대신증권앞 주차장,중마동,전라남도 광양시 중동 1358-1 ,127.694687,34.942001,DC콤보
마동근린체육공원,중마동,전라남도 광양시 중동 674-4 ,127.692801,34.951564,DC차데모+AC3상+DC콤보
마틴모텔,광영동,전라남도 광양시 새미골길 8-5 마틴모텔 주차장,127.7233801,34.96265956,AC완속
섬진강휴게소(부산방향),진월면,전라남도 광양시 진월면 섬진강매화로 141 ,127.7704921,34.98458822,DC차데모+AC3상+DC콤보
섬진강휴게소(부산방향),진월면,전라남도 광양시 진월면 신아리 (진월면 신아리),127.77121,34.985059,DC차데모+AC3상+DC콤보
섬진강휴게소(순천방향),진월면,전라남도 광양시 진월면 신답길 24-14 ,127.7688769,34.98545777,DC차데모+AC3상+DC콤보
섬진강휴게소(순천방향),진월면,전라남도 광양시 진월면 신아리 (진월면 신아리),127.769282,34.985641,DC차데모+AC3상+DC콤보
쉐보레동광양지정서비스,태인동,전라남도 광양시 김시식지1길 1-18 외부주차장,127.7580871,34.94611217,AC완속
인동숲주차장,광양읍,"전라남도 광양시 광양읍 인서리 238, 좌측 주차장 ",127.587458,34.970086,DC차데모+AC3상+DC콤보
중마버스터미널 공영주차장,중마동,전라남도 광양시 공영로 91 (중동 1732-2),127.6994298,34.93602201,DC차데모+AC3상+DC콤보
중마상설시장 주차장,중마동,전라남도 광양시 중동 1732-3 ,127.699664,34.93809,DC콤보
중마점 기아오토큐,중마동,전라남도 광양시 발섬3길 14 중마점 기아오토큐 주차장,127.6997117,34.93371196,AC완속
호텔 자바,중마동,전라남도 광양시 중동로 98 지하주차장,127.6992328,34.94101442,AC완속
홈플러스 광양점,중마동,전라남도 광양시 항만11로 70 ,127.6942908,34.92848305,DC차데모+AC3상+DC콤보
화이트모텔,중마동,전라남도 광양시 오류4길30 지상주차장,127.697483,34.93722193,AC완속
흙모텔,중마동,전라남도 광양시 구마1길 3-2 지상주차장,127.6877486,34.94497483,AC완속
